,Ranking,OSF
1,98.42952944,"META, Impulso Deportivo y Académico, S.C."
2,98.42952868,"Escalando Fronteras, A.C."
3,98.42952866,"Fundación Chávez Ramos, A.C"
4,98.42952861,Dirección de carreta Ing. Mecánica
5,98.42952823,SecreatarÍa de Medio Ambiente de Nuevo León
6,98.42952794,Instituto de Bienestar Integral (IBI)
7,98.42952782,"Fundación FEMSA , A.C."
8,98.42952715,Emprendedores Líderes Generando la Evolución por México A.C. (Elige México)
9,98.42952709,GeoStats
10,98.42952682,Conexión TEC
