,Ranking,OSF
359,75.27292122,PAME fuerza de juventud A.C
360,75.27292034,"Club deportivo de Fútbol Americano Halcones, A.C."
361,74.65930808,Ciudadani­a y Ciudades Inteligentes
362,73.71702415,Secretaría de Contraloría y Transparencia de San Pedro
363,72.47777049,"AMMJE, Asociación Mexicana de Mujeres Jefas de Empresa, A.C."
364,71.77974555,EAAD - Departamento de Urbanismo
365,69.47160963,"Consejo de Seguridad de la información y ciberseguridad, A.C."
366,67.22410134,Instituto Nacional de Antropología e Historia
367,62.75260465,ABBA | ADOPCIÓN Y ACOGIMIENTO FAMILIAR DE MÉXICO AC
368,56.33935485,"FUNDACION CLISA, A.C."
